outcome,h,beta,se,p
Gasoline per-capita (log),15,-0.1303678922368833,0.09906583553180298,0.1885626760614567
Gasoline per-capita (log),25,-0.09330742655995024,0.07648713117513825,0.2228607038895294
Gasoline per-capita (log),50,-0.06383567651767566,0.05595391096713177,0.2542710126034997
Gasoline per-capita (log),100,-0.05171638630021864,0.04632927403182484,0.2646400886468663
Gasoline per-capita (log),250,-0.04807835839260328,0.04226326235837075,0.255633529949864
Median AQI,15,0.7510850088119354,1.8572925315468745,0.6860322304150774
Median AQI,25,0.7234098327285071,1.6060909939297856,0.6525366349371398
Median AQI,50,0.7223423519736688,1.4794729306258136,0.6255163509871191
Median AQI,100,0.781819746079457,1.4508666894684306,0.5901360886705427
Median AQI,250,0.8871077102177091,1.44963778983356,0.540750166896327
