STATEFP,COUNTYFP,GEOID,NAME,ALAND,AWATER,INTPTLAT,INTPTLON
06,091,06091,Sierra,2468694578,23299110,39.5769252,-120.5219926
06,067,06067,Sacramento,2500063005,75323439,38.4501363,-121.3443291
06,083,06083,Santa Barbara,7080874935,2729198796,34.5366774,-120.0383645
06,009,06009,Calaveras,2641829627,43797225,38.1910682,-120.5541065
06,111,06111,Ventura,4767585000,947376202,34.3587477,-119.1331453
06,037,06037,Los Angeles,10515988121,1785003256,34.1963983,-118.2618616
06,097,06097,Sonoma,4080103614,497291856,38.5251824,-122.9261095
06,031,06031,Kings,3602601921,3164290,36.072478,-119.8155301
06,073,06073,San Diego,10905039592,816542690,33.0236041,-116.7761174
06,061,06061,Placer,3644330331,246442517,39.0620323,-120.7227181
06,075,06075,San Francisco,120951669,479702222,37.7272391,-123.0322294
06,041,06041,Marin,1347159145,797808345,38.0513667,-122.7463958
06,043,06043,Mariposa,3752476985,36220865,37.5743432,-119.9117215
06,035,06035,Lassen,11762090640,462950977,40.7152866,-120.6212225
06,055,06055,Napa,1947606499,104444597,38.5070999,-122.3259045
06,089,06089,Shasta,9778891285,185818272,40.7605142,-122.0435558
06,053,06053,Monterey,8499609695,1267806850,36.2401044,-121.3155781
06,105,06105,Trinity,8234265080,73407950,40.6478582,-123.114666
06,045,06045,Mendocino,9082586851,961786019,39.4323876,-123.4428811
06,027,06027,Inyo,26410783053,77280938,36.5621604,-117.4042092
06,051,06051,Mono,7896625264,214695142,37.9158363,-118.8751668
06,109,06109,Tuolumne,5752133236,138668835,38.0214344,-119.9647335
06,095,06095,Solano,2128287126,218615209,38.2672255,-121.939594
06,071,06071,San Bernardino,51976311343,96418184,34.8566615,-116.1815707
06,013,06013,Contra Costa,1856752855,225364426,37.919479,-121.9515431
06,003,06003,Alpine,1912292607,12557304,38.6217831,-119.7983522
06,017,06017,El Dorado,4423288010,203364019,38.7856116,-120.5342245
06,113,06113,Yolo,2623627933,22888380,38.6796091,-121.90275
06,115,06115,Yuba,1636887866,31084093,39.27013,-121.3442587
06,069,06069,San Benito,3596591086,4719300,36.6116507,-121.0858108
06,023,06023,Humboldt,9241141221,1254150035,40.7066554,-123.9261757
06,065,06065,Riverside,18671879658,242864215,33.7298275,-116.0022389
06,029,06029,Kern,21068705434,78332288,35.3466288,-118.7295064
06,011,06011,Colusa,2980245451,14696164,39.1777385,-122.2375629
06,015,06015,Del Norte,2606049835,578810831,41.7499033,-123.9809983
06,049,06049,Modoc,10225876984,660504011,41.5929185,-120.7183704
06,019,06019,Fresno,15432139286,136609893,36.7610058,-119.6550193
06,039,06039,Madera,5534591545,42271836,37.2098213,-119.7498023
06,085,06085,Santa Clara,3343892718,33595850,37.2216142,-121.6895401
06,103,06103,Tehama,7638229380,33767224,40.1261573,-122.2322737
06,077,06077,San Joaquin,3605878836,89000661,37.9349815,-121.272244
06,001,06001,Alameda,1910010507,216909647,37.6471385,-121.912488
06,057,06057,Nevada,2480587299,41531993,39.2975082,-120.7713429
06,007,06007,Butte,4238488659,105260548,39.6653362,-121.6032086
06,047,06047,Merced,5019407135,105277636,37.1948063,-120.7228019
06,107,06107,Tulare,12493840856,37260863,36.2288339,-118.7810551
06,099,06099,Stanislaus,3875010968,46378776,37.5623162,-121.0028311
06,059,06059,Orange,2053499195,406256078,33.6756872,-117.7772068
06,025,06025,Imperial,10814568238,790135127,33.0408143,-115.3554001
06,101,06101,Sutter,1560975502,14811541,39.0361898,-121.7039397
06,005,06005,Amador,1539967079,29437120,38.4435493,-120.653858
06,033,06033,Lake,3250647505,189100321,39.1080094,-122.7452171
06,063,06063,Plumas,6612400771,156387638,39.9922953,-120.8243709
06,081,06081,San Mateo,1161882952,757162988,37.4146725,-122.3715457
06,093,06093,Siskiyou,16261931187,179151859,41.5879861,-122.5332868
06,087,06087,Santa Cruz,1152818089,419720203,37.0123466,-122.0077889
06,021,06021,Glenn,3403160293,33693351,39.6025462,-122.4016998
06,079,06079,San Luis Obispo,8549140866,815650229,35.3881891,-120.4488974
