county_name,year,gallons_millions
Alameda,2010,551.0
Alameda,2011,548.0
Alameda,2012,568.0
Alameda,2013,603.0
Alameda,2014,491.0
Alameda,2015,542.0
Alameda,2016,582.0
Alameda,2017,583.0
Alameda,2018,569.0
Alameda,2019,591.0
Alameda,2020,442.0
Alameda,2021,492.0
Alameda,2022,473.0
Alameda,2023,468.0
Alameda,2024,456.0
Amador,2010,15.0
Amador,2011,14.0
Amador,2012,14.0
Amador,2013,12.0
Amador,2014,15.0
Amador,2015,13.0
Amador,2016,14.0
Amador,2017,15.0
Amador,2018,17.0
Amador,2019,18.0
Amador,2020,13.0
Amador,2021,14.0
Amador,2022,13.0
Amador,2023,12.0
Amador,2024,12.0
Butte,2010,81.0
Butte,2011,81.0
Butte,2012,78.0
Butte,2013,81.0
Butte,2014,85.0
Butte,2015,78.0
Butte,2016,83.0
Butte,2017,87.0
Butte,2018,86.0
Butte,2019,78.0
Butte,2020,68.0
Butte,2021,74.0
Butte,2022,63.0
Butte,2023,71.0
Butte,2024,64.0
Calaveras,2010,14.0
Calaveras,2011,14.0
Calaveras,2012,12.0
Calaveras,2013,13.0
Calaveras,2014,14.0
Calaveras,2015,14.0
Calaveras,2016,15.0
Calaveras,2017,15.0
Calaveras,2018,15.0
Calaveras,2019,15.0
Calaveras,2020,15.0
Calaveras,2021,13.0
Calaveras,2022,15.0
Calaveras,2023,14.0
Calaveras,2024,16.0
Colusa,2010,17.0
Colusa,2011,11.0
Colusa,2012,10.0
Colusa,2013,13.0
Colusa,2014,10.0
Colusa,2015,9.0
Colusa,2016,11.0
Colusa,2017,12.0
Colusa,2018,13.0
Colusa,2019,13.0
Colusa,2020,15.0
Colusa,2021,16.0
Colusa,2022,13.0
Colusa,2023,11.0
Colusa,2024,12.0
Contra Costa,2010,403.0
Contra Costa,2011,395.0
Contra Costa,2012,419.0
Contra Costa,2013,422.0
Contra Costa,2014,392.0
Contra Costa,2015,380.0
Contra Costa,2016,431.0
Contra Costa,2017,430.0
Contra Costa,2018,397.0
Contra Costa,2019,427.0
Contra Costa,2020,336.0
Contra Costa,2021,374.0
Contra Costa,2022,396.0
Contra Costa,2023,390.0
Contra Costa,2024,382.0
Del Norte,2010,8.0
Del Norte,2011,7.0
Del Norte,2012,7.0
Del Norte,2013,5.0
Del Norte,2014,7.0
Del Norte,2015,6.0
Del Norte,2016,7.0
Del Norte,2017,7.0
Del Norte,2018,7.0
Del Norte,2019,6.0
Del Norte,2020,5.0
Del Norte,2021,5.0
Del Norte,2022,4.0
Del Norte,2023,4.0
Del Norte,2024,3.0
El Dorado,2010,68.0
El Dorado,2011,67.0
El Dorado,2012,75.0
El Dorado,2013,72.0
El Dorado,2014,52.0
El Dorado,2015,81.0
El Dorado,2016,81.0
El Dorado,2017,82.0
El Dorado,2018,76.0
El Dorado,2019,74.0
El Dorado,2020,62.0
El Dorado,2021,65.0
El Dorado,2022,66.0
El Dorado,2023,67.0
El Dorado,2024,65.0
Fresno,2010,342.0
Fresno,2011,335.0
Fresno,2012,341.0
Fresno,2013,344.0
Fresno,2014,300.0
Fresno,2015,331.0
Fresno,2016,358.0
Fresno,2017,367.0
Fresno,2018,368.0
Fresno,2019,376.0
Fresno,2020,347.0
Fresno,2021,387.0
Fresno,2022,371.0
Fresno,2023,372.0
Fresno,2024,378.0
Glenn,2010,14.0
Glenn,2011,14.0
Glenn,2012,12.0
Glenn,2013,14.0
Glenn,2014,16.0
Glenn,2015,16.0
Glenn,2016,17.0
Glenn,2017,18.0
Glenn,2018,17.0
Glenn,2019,18.0
Glenn,2020,15.0
Glenn,2021,17.0
Glenn,2022,14.0
Glenn,2023,15.0
Glenn,2024,15.0
Humboldt,2010,54.0
Humboldt,2011,54.0
Humboldt,2012,53.0
Humboldt,2013,64.0
Humboldt,2014,44.0
Humboldt,2015,59.0
Humboldt,2016,61.0
Humboldt,2017,55.0
Humboldt,2018,58.0
Humboldt,2019,53.0
Humboldt,2020,56.0
Humboldt,2021,52.0
Humboldt,2022,45.0
Humboldt,2023,42.0
Humboldt,2024,30.0
Imperial,2010,69.0
Imperial,2011,60.0
Imperial,2012,54.0
Imperial,2013,58.0
Imperial,2014,83.0
Imperial,2015,79.0
Imperial,2016,86.0
Imperial,2017,83.0
Imperial,2018,89.0
Imperial,2019,86.0
Imperial,2020,64.0
Imperial,2021,74.0
Imperial,2022,66.0
Imperial,2023,74.0
Imperial,2024,75.0
Inyo,2010,19.0
Inyo,2011,18.0
Inyo,2012,16.0
Inyo,2013,16.0
Inyo,2014,17.0
Inyo,2015,18.0
Inyo,2016,18.0
Inyo,2017,18.0
Inyo,2018,18.0
Inyo,2019,17.0
Inyo,2020,16.0
Inyo,2021,15.0
Inyo,2022,15.0
Inyo,2023,15.0
Inyo,2024,15.0
Kern,2010,362.0
Kern,2011,359.0
Kern,2012,356.0
Kern,2013,367.0
Kern,2014,384.0
Kern,2015,375.0
Kern,2016,407.0
Kern,2017,390.0
Kern,2018,396.0
Kern,2019,392.0
Kern,2020,364.0
Kern,2021,406.0
Kern,2022,395.0
Kern,2023,401.0
Kern,2024,406.0
Kings,2010,51.0
Kings,2011,48.0
Kings,2012,47.0
Kings,2013,49.0
Kings,2014,45.0
Kings,2015,51.0
Kings,2016,57.0
Kings,2017,60.0
Kings,2018,60.0
Kings,2019,76.0
Kings,2020,52.0
Kings,2021,58.0
Kings,2022,58.0
Kings,2023,55.0
Kings,2024,55.0
Lake,2010,25.0
Lake,2011,22.0
Lake,2012,20.0
Lake,2013,24.0
Lake,2014,25.0
Lake,2015,23.0
Lake,2016,21.0
Lake,2017,21.0
Lake,2018,23.0
Lake,2019,24.0
Lake,2020,20.0
Lake,2021,20.0
Lake,2022,18.0
Lake,2023,19.0
Lake,2024,18.0
Lassen,2010,7.0
Lassen,2011,7.0
Lassen,2012,6.0
Lassen,2013,6.0
Lassen,2014,8.0
Lassen,2015,9.0
Lassen,2016,8.0
Lassen,2017,6.0
Lassen,2018,5.0
Lassen,2019,7.0
Lassen,2020,6.0
Lassen,2021,7.0
Lassen,2022,6.0
Lassen,2023,6.0
Lassen,2024,6.0
Los Angeles,2010,3658.0
Los Angeles,2011,3554.0
Los Angeles,2012,3451.0
Los Angeles,2013,3445.0
