FIPS,State,County_Name,Attribute,Value
01001,AL,Autauga County,Population_2020,58805
01001,AL,Autauga County,RUCC_2023,2
01003,AL,Baldwin County,Population_2020,231767
01003,AL,Baldwin County,RUCC_2023,3
01005,AL,Barbour County,Population_2020,25223
01005,AL,Barbour County,RUCC_2023,6
01007,AL,Bibb County,Population_2020,22293
01007,AL,Bibb County,RUCC_2023,1
01009,AL,Blount County,Population_2020,59134
01009,AL,Blount County,RUCC_2023,1
01011,AL,Bullock County,Population_2020,10357
01011,AL,Bullock County,RUCC_2023,8
01013,AL,Butler County,Population_2020,19051
01013,AL,Butler County,RUCC_2023,6
01015,AL,Calhoun County,Population_2020,116441
01015,AL,Calhoun County,RUCC_2023,3
01017,AL,Chambers County,Population_2020,34772
01017,AL,Chambers County,RUCC_2023,6
01019,AL,Cherokee County,Population_2020,24971
01019,AL,Cherokee County,RUCC_2023,8
01021,AL,Chilton County,Population_2020,45014
01021,AL,Chilton County,RUCC_2023,1
01023,AL,Choctaw County,Population_2020,12665
01023,AL,Choctaw County,RUCC_2023,9
01025,AL,Clarke County,Population_2020,23087
01025,AL,Clarke County,RUCC_2023,9
01027,AL,Clay County,Population_2020,14236
01027,AL,Clay County,RUCC_2023,9
01029,AL,Cleburne County,Population_2020,15056
01029,AL,Cleburne County,RUCC_2023,8
01031,AL,Coffee County,Population_2020,53465
01031,AL,Coffee County,RUCC_2023,4
01033,AL,Colbert County,Population_2020,57227
01033,AL,Colbert County,RUCC_2023,3
01035,AL,Conecuh County,Population_2020,11597
01035,AL,Conecuh County,RUCC_2023,9
01037,AL,Coosa County,Population_2020,10387
01037,AL,Coosa County,RUCC_2023,8
01039,AL,Covington County,Population_2020,37570
01039,AL,Covington County,RUCC_2023,6
01041,AL,Crenshaw County,Population_2020,13194
01041,AL,Crenshaw County,RUCC_2023,8
01043,AL,Cullman County,Population_2020,87866
01043,AL,Cullman County,RUCC_2023,4
01045,AL,Dale County,Population_2020,49326
01045,AL,Dale County,RUCC_2023,4
01047,AL,Dallas County,Population_2020,38462
01047,AL,Dallas County,RUCC_2023,4
01049,AL,DeKalb County,Population_2020,71608
01049,AL,DeKalb County,RUCC_2023,6
01051,AL,Elmore County,Population_2020,87977
01051,AL,Elmore County,RUCC_2023,2
01053,AL,Escambia County,Population_2020,36757
01053,AL,Escambia County,RUCC_2023,6
01055,AL,Etowah County,Population_2020,103436
01055,AL,Etowah County,RUCC_2023,3
01057,AL,Fayette County,Population_2020,16321
01057,AL,Fayette County,RUCC_2023,8
01059,AL,Franklin County,Population_2020,32113
01059,AL,Franklin County,RUCC_2023,6
01061,AL,Geneva County,Population_2020,26659
01061,AL,Geneva County,RUCC_2023,3
01063,AL,Greene County,Population_2020,7730
01063,AL,Greene County,RUCC_2023,2
01065,AL,Hale County,Population_2020,14785
01065,AL,Hale County,RUCC_2023,2
01067,AL,Henry County,Population_2020,17146
01067,AL,Henry County,RUCC_2023,3
01069,AL,Houston County,Population_2020,107202
01069,AL,Houston County,RUCC_2023,3
01071,AL,Jackson County,Population_2020,52579
01071,AL,Jackson County,RUCC_2023,6
01073,AL,Jefferson County,Population_2020,674721
01073,AL,Jefferson County,RUCC_2023,1
01075,AL,Lamar County,Population_2020,13972
01075,AL,Lamar County,RUCC_2023,8
01077,AL,Lauderdale County,Population_2020,93564
01077,AL,Lauderdale County,RUCC_2023,3
01079,AL,Lawrence County,Population_2020,33073
01079,AL,Lawrence County,RUCC_2023,3
01081,AL,Lee County,Population_2020,174241
01081,AL,Lee County,RUCC_2023,3
01083,AL,Limestone County,Population_2020,103570
01083,AL,Limestone County,RUCC_2023,2
01085,AL,Lowndes County,Population_2020,10311
01085,AL,Lowndes County,RUCC_2023,2
01087,AL,Macon County,Population_2020,19532
01087,AL,Macon County,RUCC_2023,3
01089,AL,Madison County,Population_2020,388153
01089,AL,Madison County,RUCC_2023,2
01091,AL,Marengo County,Population_2020,19323
01091,AL,Marengo County,RUCC_2023,6
01093,AL,Marion County,Population_2020,29341
01093,AL,Marion County,RUCC_2023,9
01095,AL,Marshall County,Population_2020,97612
01095,AL,Marshall County,RUCC_2023,4
01097,AL,Mobile County,Population_2020,414809
01097,AL,Mobile County,RUCC_2023,2
01099,AL,Monroe County,Population_2020,19772
01099,AL,Monroe County,RUCC_2023,8
01101,AL,Montgomery County,Population_2020,228954
01101,AL,Montgomery County,RUCC_2023,2
01103,AL,Morgan County,Population_2020,123421
01103,AL,Morgan County,RUCC_2023,3
01105,AL,Perry County,Population_2020,8511
01105,AL,Perry County,RUCC_2023,8
01107,AL,Pickens County,Population_2020,19123
01107,AL,Pickens County,RUCC_2023,2
01109,AL,Pike County,Population_2020,33009
01109,AL,Pike County,RUCC_2023,6
01111,AL,Randolph County,Population_2020,21967
01111,AL,Randolph County,RUCC_2023,8
01113,AL,Russell County,Population_2020,59183
01113,AL,Russell County,RUCC_2023,2
01115,AL,St. Clair County,Population_2020,91103
01115,AL,St. Clair County,RUCC_2023,1
01117,AL,Shelby County,Population_2020,223024
01117,AL,Shelby County,RUCC_2023,1
01119,AL,Sumter County,Population_2020,12345
01119,AL,Sumter County,RUCC_2023,8
01121,AL,Talladega County,Population_2020,82149
01121,AL,Talladega County,RUCC_2023,4
01123,AL,Tallapoosa County,Population_2020,41311
01123,AL,Tallapoosa County,RUCC_2023,6
01125,AL,Tuscaloosa County,Population_2020,227036
01125,AL,Tuscaloosa County,RUCC_2023,2
01127,AL,Walker County,Population_2020,65342
01127,AL,Walker County,RUCC_2023,1
01129,AL,Washington County,Population_2020,15388
01129,AL,Washington County,RUCC_2023,8
01131,AL,Wilcox County,Population_2020,10600
01131,AL,Wilcox County,RUCC_2023,9
01133,AL,Winston County,Population_2020,23540
01133,AL,Winston County,RUCC_2023,8
02013,AK,Aleutians East Borough,Population_2020,3420
02013,AK,Aleutians East Borough,RUCC_2023,9
02016,AK,Aleutians West Census Area,Population_2020,5232
02016,AK,Aleutians West Census Area,RUCC_2023,9
02020,AK,Anchorage Municipality,Population_2020,291247
02020,AK,Anchorage Municipality,RUCC_2023,2
02050,AK,Bethel Census Area,Population_2020,18666
02050,AK,Bethel Census Area,RUCC_2023,7
02060,AK,Bristol Bay Borough,Population_2020,844
02060,AK,Bristol Bay Borough,RUCC_2023,9
02063,AK,Chugach Census Area,Population_2020,7102
02063,AK,Chugach Census Area,RUCC_2023,9
02066,AK,Copper River Census Area,Population_2020,2617
02066,AK,Copper River Census Area,RUCC_2023,9
02068,AK,Denali Borough,Population_2020,1619
02068,AK,Denali Borough,RUCC_2023,9
02070,AK,Dillingham Census Area,Population_2020,4857
02070,AK,Dillingham Census Area,RUCC_2023,9
02090,AK,Fairbanks North Star Borough,Population_2020,95655
02090,AK,Fairbanks North Star Borough,RUCC_2023,3
02100,AK,Haines Borough,Population_2020,2080
02100,AK,Haines Borough,RUCC_2023,9
