county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Merced County, California",46338.0,267390.0,77092.0,155650.0,8007.0,79261.0,41206.0,95151.0,85301.0,79261.0,5546.0,5389.0,4745.0,4934.0,4327.0,4585.0,4711.0,4420.0,3675.0,6387.0,8248.0,8507.0,4929.0,2925.0,3415.0,2518.0,06,047,0.9251460365122822,2017
"Lake County, California",40446.0,64095.0,45957.0,12445.0,1362.0,26327.0,17362.0,21813.0,18066.0,26327.0,2588.0,2186.0,2129.0,1735.0,1768.0,1581.0,1071.0,1018.0,1079.0,1954.0,2401.0,3038.0,1525.0,962.0,720.0,572.0,06,033,0.9509249059900482,2017
"Mariposa County, California",51385.0,17658.0,14309.0,1870.0,215.0,7434.0,5259.0,6789.0,5092.0,7434.0,648.0,387.0,436.0,450.0,375.0,278.0,341.0,347.0,383.0,671.0,799.0,922.0,557.0,405.0,260.0,175.0,06,043,0.9414850686037127,2017
"Modoc County, California",39296.0,9017.0,7035.0,1317.0,65.0,3638.0,2655.0,3085.0,2399.0,3638.0,397.0,180.0,262.0,244.0,349.0,186.0,221.0,193.0,210.0,263.0,379.0,380.0,131.0,156.0,61.0,26.0,06,049,0.9760857614073667,2017
"Yuba County, California",51776.0,74644.0,42018.0,20479.0,2407.0,25880.0,15063.0,28425.0,26060.0,25880.0,1338.0,2004.0,1342.0,1668.0,1314.0,1245.0,1329.0,1082.0,1213.0,2316.0,2883.0,3243.0,2181.0,1049.0,1122.0,551.0,06,115,0.9353554868624421,2017
"Contra Costa County, California",88456.0,1123678.0,504818.0,284003.0,93140.0,389597.0,255201.0,520162.0,415013.0,389597.0,14949.0,11889.0,11451.0,12253.0,11910.0,12219.0,11878.0,12282.0,11954.0,23485.0,33397.0,48492.0,41620.0,31060.0,40972.0,59786.0,06,013,0.7413789120552776,2017
"Inyo County, California",51500.0,18195.0,11557.0,3894.0,172.0,8026.0,5109.0,8078.0,6615.0,8026.0,209.0,553.0,503.0,382.0,625.0,448.0,363.0,548.0,313.0,555.0,975.0,975.0,674.0,386.0,258.0,259.0,06,027,0.9355843508597059,2017
"Lassen County, California",54083.0,31470.0,20812.0,5829.0,2708.0,9441.0,6230.0,8737.0,7849.0,9441.0,609.0,631.0,440.0,570.0,452.0,390.0,346.0,450.0,388.0,889.0,1134.0,1183.0,783.0,382.0,564.0,230.0,06,035,0.915898739540303,2017
"Stanislaus County, California",54260.0,535684.0,232230.0,240816.0,13607.0,171324.0,97790.0,212692.0,194391.0,171324.0,9312.0,10158.0,8960.0,8598.0,8184.0,9577.0,8257.0,8149.0,7705.0,14149.0,17402.0,21998.0,15081.0,8930.0,8409.0,6455.0,06,099,0.9132404099834233,2017
"Santa Barbara County, California",68023.0,442996.0,200723.0,198556.0,7469.0,144015.0,75308.0,207428.0,169279.0,144015.0,6900.0,5862.0,6222.0,5396.0,5403.0,6538.0,5902.0,6225.0,5776.0,10002.0,13524.0,18640.0,13158.0,9236.0,11399.0,13832.0,06,083,0.824802971912648,2017
"Sonoma County, California",71769.0,500943.0,319805.0,132018.0,6972.0,190058.0,114608.0,243493.0,209391.0,190058.0,7537.0,7853.0,7099.0,6834.0,7054.0,7189.0,7619.0,6840.0,6574.0,14851.0,19271.0,26873.0,18935.0,12816.0,16379.0,16334.0,06,097,0.827878858032811,2017
"Tehama County, California",42512.0,63247.0,43779.0,15316.0,376.0,23712.0,15934.0,23284.0,21108.0,23712.0,1486.0,1686.0,1811.0,1993.0,1441.0,1583.0,1339.0,925.0,1035.0,1994.0,2132.0,2711.0,1462.0,720.0,708.0,686.0,06,103,0.9412112010796221,2017
"Imperial County, California",44779.0,179957.0,20372.0,150108.0,4109.0,45198.0,25507.0,58660.0,52951.0,45198.0,3781.0,4339.0,2977.0,2762.0,2287.0,2646.0,1876.0,2015.0,1563.0,2926.0,4528.0,5065.0,3416.0,1944.0,1849.0,1224.0,06,025,0.9320102659409708,2017
"Mono County, California",60595.0,14058.0,9288.0,3815.0,53.0,4899.0,2750.0,7781.0,4034.0,4899.0,98.0,137.0,100.0,193.0,164.0,274.0,275.0,253.0,281.0,650.0,528.0,780.0,418.0,372.0,209.0,167.0,06,051,0.9232496427842417,2017
"San Benito County, California",80760.0,58671.0,20872.0,34561.0,437.0,17440.0,11103.0,26596.0,24946.0,17440.0,356.0,630.0,527.0,549.0,519.0,577.0,698.0,600.0,632.0,1136.0,1964.0,2523.0,2465.0,1176.0,1627.0,1461.0,06,069,0.8229357798165138,2017
"Alameda County, California",85743.0,1629615.0,524881.0,367041.0,175063.0,569070.0,301667.0,753329.0,543199.0,569070.0,26579.0,22835.0,17778.0,19344.0,17054.0,18334.0,17421.0,16722.0,17061.0,33265.0,46396.0,67750.0,57958.0,44877.0,62364.0,83332.0,06,001,0.7439752578768869,2017
"Sacramento County, California",60239.0,1495400.0,684141.0,340656.0,142416.0,532050.0,295276.0,650426.0,569191.0,532050.0,31242.0,28488.0,23554.0,24572.0,23936.0,24164.0,22765.0,23464.0,20869.0,41883.0,53304.0,67912.0,49791.0,30338.0,36326.0,29442.0,06,067,0.8763875575603797,2017
"El Dorado County, California",74885.0,185015.0,145153.0,23279.0,1614.0,68084.0,51948.0,78495.0,67710.0,68084.0,2762.0,2711.0,2775.0,2889.0,2517.0,2559.0,2955.0,2172.0,1989.0,4705.0,6052.0,8314.0,7307.0,4887.0,6085.0,7405.0,06,017,0.8018624052640856,2017
"Napa County, California",79637.0,141005.0,75010.0,47547.0,2877.0,49044.0,30954.0,69406.0,60761.0,49044.0,1581.0,1880.0,1236.0,1946.0,1748.0,1561.0,1844.0,1910.0,1709.0,3169.0,4742.0,6375.0,5118.0,3648.0,4705.0,5872.0,06,055,0.7843365141505587,2017
"Monterey County, California",63249.0,433168.0,132600.0,250913.0,10621.0,125939.0,63873.0,185131.0,151415.0,125939.0,5491.0,4360.0,4446.0,5931.0,5457.0,5801.0,5648.0,5968.0,5519.0,10691.0,13222.0,17177.0,11236.0,7848.0,8253.0,8891.0,06,053,0.8638706040225823,2017
"San Francisco County, California",96265.0,864263.0,353000.0,131949.0,43961.0,358772.0,133812.0,495315.0,203789.0,358772.0,20267.0,19987.0,11875.0,11951.0,9528.0,9881.0,8437.0,9095.0,8116.0,15351.0,24578.0,34819.0,33742.0,26156.0,38914.0,76075.0,06,075,0.6794928255270757,2017
"Sierra County, California",44190.0,2885.0,2509.0,290.0,4.0,1208.0,963.0,1101.0,857.0,1208.0,93.0,112.0,89.0,45.0,44.0,59.0,82.0,103.0,24.0,52.0,71.0,103.0,155.0,65.0,56.0,55.0,06,091,0.9081125827814569,2017
